id,observed_at_utc,latitude,longitude,common_name,scientific_name,ebird_species_code,age,sex,bird_status,cause,year
4e1946e6-ab99-45ab-9212-24dd4918903c,2022-08-09,33.780549,-84.398248,Northern Mockingbird,Mimus polyglottos,normoc,UNKNOWN,UNKNOWN,DEAD,collision with building/structure,2022
7ee2f71f-1bae-4483-b9a8-47b25e31b842,2022-08-18,33.780053,-84.396292,American Robin,Turdus migratorius,amerob,ADULT,UNKNOWN,DEAD,collision with building/structure,2022
b770a71b-518b-43dc-b34f-057d4a60805d,2022-08-20,33.779869,-84.396751,Yellow-breasted Chat,Icteria virens,yebcha,UNKNOWN,UNKNOWN,DEAD,unknown,2022
dd9c712d-93e5-412f-a066-41f65a4ad7c0,2022-08-22,33.780023,-84.3962,American Robin,Turdus migratorius,amerob,ADULT,UNKNOWN,DEAD,collision with building/structure,2022
f268d4dc-2406-4f1c-96d6-ef721cdaa066,2022-08-22,33.776098,-84.396506,unknown,unknown,,ADULT,UNKNOWN,DEAD,unknown,2022
8c627a25-ed07-4e79-840a-defd0620fba0,2022-08-26,33.779731,-84.396689,Ruby-throated Hummingbird,Archilochus colubris,rthhum,UNKNOWN,UNKNOWN,DEAD,collision with building/structure,2022
c4213dfd-491a-424e-b4cf-872e3be15d84,2022-08-29,33.780067,-84.396694,Black-and-white Warbler,Mniotilta varia,bawwar,UNKNOWN,UNKNOWN,DEAD,collision with building/structure,2022
