id,observed_at_utc,latitude,longitude,common_name,scientific_name,ebird_species_code,age,sex,bird_status,cause,year
bd53e564-be00-4d8e-a3f4-852afbd6d2a7,2022-07-02,33.779973,-84.396797,American Robin,Turdus migratorius,amerob,JUVENILE,UNKNOWN,DEAD,unknown,2022
08f91c15-9fa1-4745-8bb9-a89c79cdbd23,2022-07-06,33.775674,-84.401892,unknown,unknown,,UNKNOWN,UNKNOWN,DEAD,unknown,2022
45026ba3-e9ec-4424-9b06-18e150c09731,2022-07-08,33.775981,-84.402008,Mourning Dove,Zenaida macroura,moudov,JUVENILE,UNKNOWN,DEAD,collision with building/structure,2022
bcc5c030-dd99-4e9d-9b51-d5e4215879e0,2022-07-13,33.780629,-84.397634,unknown,unknown,,UNKNOWN,UNKNOWN,DEAD,unknown,2022
134112f6-6deb-459a-8f61-48a26327a66d,2022-07-18,33.774246,-84.395602,House Finch,Haemorhous mexicanus,houfin,UNKNOWN,UNKNOWN,DEAD,unknown,2022
4e1946e6-ab99-45ab-9212-24dd4918903c,2022-08-09,33.780549,-84.398248,Northern Mockingbird,Mimus polyglottos,normoc,UNKNOWN,UNKNOWN,DEAD,collision with building/structure,2022
7ee2f71f-1bae-4483-b9a8-47b25e31b842,2022-08-18,33.780053,-84.396292,American Robin,Turdus migratorius,amerob,ADULT,UNKNOWN,DEAD,collision with building/structure,2022
b770a71b-518b-43dc-b34f-057d4a60805d,2022-08-20,33.779869,-84.396751,Yellow-breasted Chat,Icteria virens,yebcha,UNKNOWN,UNKNOWN,DEAD,unknown,2022
dd9c712d-93e5-412f-a066-41f65a4ad7c0,2022-08-22,33.780023,-84.3962,American Robin,Turdus migratorius,amerob,ADULT,UNKNOWN,DEAD,collision with building/structure,2022
f268d4dc-2406-4f1c-96d6-ef721cdaa066,2022-08-22,33.776098,-84.396506,unknown,unknown,,ADULT,UNKNOWN,DEAD,unknown,2022
8c627a25-ed07-4e79-840a-defd0620fba0,2022-08-26,33.779731,-84.396689,Ruby-throated Hummingbird,Archilochus colubris,rthhum,UNKNOWN,UNKNOWN,DEAD,collision with building/structure,2022
c4213dfd-491a-424e-b4cf-872e3be15d84,2022-08-29,33.780067,-84.396694,Black-and-white Warbler,Mniotilta varia,bawwar,UNKNOWN,UNKNOWN,DEAD,collision with building/structure,2022
e47f1610-0d63-4d47-8e3c-981e1c24c4a3,2022-09-06,33.778722,-84.39679,unknown,unknown,,UNKNOWN,UNKNOWN,DEAD,collision with building/structure,2022
61efb550-d6f0-4f61-8d51-8c521b187f1b,2022-09-06,33.779658,-84.396677,American Robin,Turdus migratorius,amerob,UNKNOWN,UNKNOWN,DEAD,collision with building/structure,2022
cc7b6c4f-d45b-4a63-b004-bcae634ecfa5,2022-09-06,33.779531,-84.397069,American Robin,Turdus migratorius,amerob,ADULT,UNKNOWN,DEAD,collision with building/structure,2022
327fc586-6716-419b-a2c2-77abedfb603f,2022-09-06,33.779653,-84.396715,American Robin,Turdus migratorius,amerob,ADULT,UNKNOWN,DEAD,collision with building/structure,2022
56fc8783-4b44-44f4-b8e1-909dd88cfd89,2022-09-07,33.774315,-84.395374,Northern Waterthrush,Parkesia noveboracensis,norwat,UNKNOWN,UNKNOWN,DEAD,collision with building/structure,2022
17f560df-8104-4e3f-aecb-7735329d3374,2022-09-07,33.779323,-84.404644,Common Yellowthroat,Geothlypis trichas,comyel,JUVENILE,UNKNOWN,DEAD,collision with building/structure,2022
8d857568-6756-46f2-9cfc-fde0e2a0e87e,2022-09-08,33.77944,-84.396571,unknown,unknown,,UNKNOWN,UNKNOWN,DEAD,unknown,2022
3faa64ae-1946-4045-8a84-f75d395c9233,2022-09-08,33.776331,-84.387852,Northern Cardinal,Cardinalis cardinalis,norcar,JUVENILE,UNKNOWN,DEAD,unknown,2022
850fad3b-41f7-401d-b93e-36c11321d19b,2022-09-09,33.780086,-84.396572,Hooded Warbler,Setophaga citrina,hoowar,ADULT,MALE,DEAD,collision with building/structure,2022
6d503c9e-4d9a-4929-a48a-b3f130414032,2022-09-10,33.774173,-84.393395,Brown Thrasher,Toxostoma rufum,brnthr,ADULT,UNKNOWN,INJURED,unknown,2022
