id,observed_at_utc,latitude,longitude,common_name,scientific_name,ebird_species_code,age,sex,bird_status,cause
bbba023a-8f4c-4784-8354-e1d00ed2aaea,,33.779402,-84.403737,unknown,unknown,,UNKNOWN,UNKNOWN,DEAD,unknown
cde1007a-e884-4f8b-afba-0e0e4b75ed2c,,33.774931,-84.401479,American Goldfinch,Spinus tristis,amegfi,ADULT,MALE,DEAD,collision with building/structure
b886df07-937b-4c2e-acdd-5fe972bc2d23,,33.779904,-84.396635,Downy Woodpecker,Dryobates pubescens,dowwoo,UNKNOWN,UNKNOWN,DEAD,collision with building/structure
92adcee2-8936-4d25-bfaa-32da9aec79a9,,33.778265,-84.3984,unknown,unknown,,UNKNOWN,UNKNOWN,INJURED,unknown
bc21c174-1af2-495f-b72f-c2d6328700ee,,33.774432,-84.391691,Black-and-white Warbler,Mniotilta varia,bawwar,ADULT,UNKNOWN,DEAD,unknown
3398a79e-6907-4786-aae8-538b4fbcfc6a,,33.77766,-84.40412,unknown,unknown,,UNKNOWN,UNKNOWN,DEAD,unknown
5b4e7b4e-9d26-4807-814b-e05adabc8a98,,33.774257,-84.395406,White-eyed Vireo,Vireo griseus,whevir,ADULT,UNKNOWN,DEAD,collision with building/structure
e6c7f3bc-3994-4f92-822b-6128f505f74d,2022-04-19 20:55:15+00:00,33.773927,-84.394634,Northern Mockingbird,Mimus polyglottos,normoc,JUVENILE,UNKNOWN,INJURED,unknown
6e6fcafc-5665-407b-8daa-99168af8d8b0,2022-04-22 14:58:51+00:00,33.780629,-84.397634,passerine sp.,Passeriformes sp.,passer1,UNKNOWN,UNKNOWN,DEAD,collision with building/structure
eb0b2c4c-4973-498b-8734-932b4603c2c9,,33.780115,-84.396951,Summer Tanager,Piranga rubra,sumtan,JUVENILE,MALE,DEAD,unknown
19f1de66-1edb-4b80-9621-f4ec86003995,2022-04-22 16:58:18+00:00,33.780126,-84.396935,Summer Tanager,Piranga rubra,sumtan,JUVENILE,MALE,DEAD,collision with building/structure
a151c849-5e26-4c9f-9fdf-6cf4fe3b9276,2022-04-22 23:31:25+00:00,33.771781,-84.39476,Eastern Towhee,Pipilo erythrophthalmus,eastow,ADULT,MALE,DEAD,unknown
81b20c63-557e-42b5-bad0-fe9eafdb83dc,,33.778042,-84.393652,American Robin,Turdus migratorius,amerob,ADULT,UNKNOWN,DEAD,unknown
