id,observed_at_utc,created_at_utc,updated_at_utc,latitude,longitude,location_accuracy_meters,mobile_device_gps_source,common_name,scientific_name,ebird_species_code,age,sex,bird_status,cause,notes,image
b17ee123-7786-485f-bcbf-75d031205036,2021-11-16 17:30:13.390000+00:00,2021-11-17 01:24:31.914289+00:00,2021-11-17 01:24:31.914313+00:00,33.775231,-84.396338,,FALSE,unknown,unknown,,UNKNOWN,UNKNOWN,DEAD,unknown,,
c8ad7e5f-0b9b-4f9e-becc-ee4d0e1a4554,2021-11-17 22:09:42.677000+00:00,2021-11-17 22:10:55.149978+00:00,2021-11-17 22:10:55.150004+00:00,33.774649,-84.396413,,FALSE,Rock Pigeon,Columba livia,rocpig,ADULT,UNKNOWN,DEAD,vehicle collision,,
c6ab8740-31a4-4a43-8441-7b4095934c86,2021-11-21 04:34:46.501000+00:00,2021-11-23 16:36:02.951463+00:00,2021-11-23 16:36:02.951494+00:00,33.774649,-84.396413,,FALSE,unknown,unknown,,UNKNOWN,UNKNOWN,DEAD,collision with building/structure,"Bird dead outside of culc, definitely hit the glass and look bludgeoned",
d3fc667f-1251-4cee-b7ca-21cfe5eb630f,2021-11-23 16:32:58.646000+00:00,2021-11-23 16:33:19.948996+00:00,2021-11-23 16:33:19.949032+00:00,33.77893,-84.396115,15.16,TRUE,unknown,unknown,,UNKNOWN,UNKNOWN,DEAD,unknown,,
f4f46ffa-42dc-4d3b-9878-eafca942ae21,2021-11-23 17:22:40.302000+00:00,2021-11-23 17:23:42.531791+00:00,2021-11-23 17:23:42.531815+00:00,33.778598,-84.396363,25.17,TRUE,unknown,unknown,,UNKNOWN,UNKNOWN,DEAD,unknown,,
ca82082d-be60-499f-84ae-de5839aef8a7,2021-11-23 21:27:36+00:00,2021-11-23 21:31:49.213576+00:00,2024-11-14 18:48:39.456284+00:00,33.778746,-84.39737,,FALSE,American Woodcock,Scolopax minor,amewoo,ADULT,UNKNOWN,DEAD,unknown,Found on the walkway outside the Ford est building at Georgia tech,https://backend-static.dbird.org/uploads/d24e88e3-9ffc-4498-a62e-f6f44e86cfb9.jpeg
e7f2dd46-e9ee-4565-97c3-29bf945296b6,2021-11-23 21:28:31+00:00,2021-11-23 21:29:53.613264+00:00,2024-11-14 18:48:03.872981+00:00,33.778753,-84.395905,13.59,TRUE,American Woodcock,Scolopax minor,amewoo,ADULT,UNKNOWN,DEAD,unknown,Had brownish-red plumage,https://backend-static.dbird.org/uploads/e305e392-cf77-41af-9d8f-26efa65ead60.jpg
88d73eb6-65d0-4bf1-9632-e6e76e7b1459,2021-11-23 22:26:47+00:00,2021-11-23 23:41:48.804188+00:00,2024-11-14 18:48:16.523083+00:00,33.778815,-84.398664,,FALSE,unknown,unknown,,ADULT,UNKNOWN,DEAD,unknown,,
7a81452d-6ef8-4a67-ad22-34a673cfb9d4,2021-11-24 16:21:29+00:00,2021-11-24 16:24:08.095950+00:00,2022-05-25 14:01:04.207810+00:00,33.77948,-84.397874,,FALSE,American Woodcock,Scolopax minor,amewoo,UNKNOWN,UNKNOWN,DEAD,unknown,Ford Environmental Science and Technology buildings,https://backend-static.dbird.org/uploads/adcad968-5d66-47c2-91e7-a56cca0d2274.jpeg
69aa21d0-d4f8-4dad-94f6-547154af79a8,2021-12-03 14:46:11+00:00,2021-12-03 14:48:26.765042+00:00,2024-11-14 18:46:30.579833+00:00,33.779765,-84.396662,22.24,TRUE,American Robin,Turdus migratorius,amerob,ADULT,UNKNOWN,DEAD,collision with building/structure,Unsure of reason of death but a possible reason could be hitting the glass door,https://backend-static.dbird.org/uploads/2cba8464-3481-473f-bde7-e47e697e1fe8.jpg
e3f94ea2-07d8-4082-9080-9106552aba88,2021-12-03 15:25:07.511000+00:00,2021-12-03 15:34:49.727291+00:00,2021-12-03 15:34:49.727317+00:00,33.780629,-84.397634,,FALSE,American Robin,Turdus migratorius,amerob,UNKNOWN,UNKNOWN,DEAD,entanglement,,
45c4f484-cf58-4873-bd57-f700653376b5,2021-12-03 16:37:15.948000+00:00,2021-12-03 16:43:54.896452+00:00,2021-12-03 16:43:54.896476+00:00,33.780088,-84.39671,,FALSE,American Robin,Turdus migratorius,amerob,ADULT,UNKNOWN,DEAD,collision with building/structure,Bird likely struck the Northside of the Mose building.,https://backend-static.dbird.org/uploads/b22efb13-e4b5-40f9-bf13-dc19279a2a89.jpg
0a6076cd-63cc-4385-87a9-9791dbcf23db,2021-12-03 17:33:28+00:00,2021-12-03 17:34:47.852586+00:00,2024-11-14 18:46:05.351932+00:00,33.780015,-84.396751,18.98,TRUE,American Robin,Turdus migratorius,amerob,ADULT,UNKNOWN,DEAD,collision with building/structure,,https://backend-static.dbird.org/uploads/81aa9f74-a898-4be5-94bd-41fb5b00fd01.jpg
7aae21c0-1f6e-4345-9cb3-1432891fe274,2022-01-10 14:06:09+00:00,2022-01-10 14:08:46.444223+00:00,2024-11-14 18:45:52.851579+00:00,33.776033,-84.398841,,FALSE,Song Sparrow,Melospiza melodia,sonspa,UNKNOWN,UNKNOWN,DEAD,unknown,Exact location: Found outside CULC exit facing Skiles,https://backend-static.dbird.org/uploads/d23a029b-45f4-4be2-bcef-4a3ec9d89a91.jpg
6bdc9b6d-c877-40e1-b445-29ce0ada1cde,2022-01-31 00:33:10.079000+00:00,2022-02-04 18:32:06.188848+00:00,2022-02-04 18:32:06.188873+00:00,33.775525,-84.401691,,FALSE,unknown,unknown,,UNKNOWN,UNKNOWN,DEAD,collision with building/structure,,
27f651f3-1739-4b7b-9ed0-3b6bc143c271,2022-03-29 02:56:12.407000+00:00,2022-03-29 03:00:19.153923+00:00,2022-03-29 03:00:19.153949+00:00,33.77766,-84.40412,,FALSE,American Crow,Corvus brachyrhynchos,amecro,UNKNOWN,UNKNOWN,DEAD,unknown,,https://backend-static.dbird.org/uploads/35b7876f-7bf5-4857-937c-d502ffbb5ca8.jpg
3967ca93-b5aa-458b-93d6-5706ff35a256,2022-03-29 20:30:19+00:00,2022-03-30 16:04:06.386467+00:00,2024-11-14 18:39:49.241865+00:00,33.780245,-84.394584,,FALSE,Ruby-throated Hummingbird,Archilochus colubris,rthhum,ADULT,MALE,INJURED,collision with building/structure,,https://backend-static.dbird.org/uploads/9c97643b-816d-480a-b61f-2c456813fb94.jpg
fd15ad88-8b43-4a8f-874e-26f0c0b9d0b1,2022-04-02 23:08:45+00:00,2022-04-02 23:12:31.777638+00:00,2022-05-25 13:52:30.849126+00:00,33.772398,-84.394312,8,TRUE,Cedar Waxwing,Bombycilla cedrorum,cedwax,UNKNOWN,UNKNOWN,DEAD,unknown,,https://backend-static.dbird.org/uploads/0eb3f5c8-0870-4d37-bffa-64e2bc2ebeb4.jpg
fd41be75-f7f1-4c98-8139-01eae9be294b,2022-04-12 23:31:11.276000+00:00,2022-04-12 23:33:48.240334+00:00,2022-04-12 23:33:48.240361+00:00,33.77733,-84.403297,4.83,TRUE,Indigo Bunting,Passerina cyanea,indbun,ADULT,MALE,DEAD,unknown,"Found at walkway beneath Fitten Hall dormitory, possible collision with dorm window",
bbba023a-8f4c-4784-8354-e1d00ed2aaea,2022-04-13 02:13:54.986000+00:00,2022-04-13 02:16:40.798503+00:00,2022-04-13 02:16:40.798533+00:00,33.779402,-84.403737,,FALSE,unknown,unknown,,UNKNOWN,UNKNOWN,DEAD,unknown,,
cde1007a-e884-4f8b-afba-0e0e4b75ed2c,2022-04-14 17:24:06.541000+00:00,2022-04-14 17:29:35.122801+00:00,2022-04-14 17:29:35.122825+00:00,33.774931,-84.401479,,FALSE,American Goldfinch,Spinus tristis,amegfi,ADULT,MALE,DEAD,collision with building/structure,,
b886df07-937b-4c2e-acdd-5fe972bc2d23,2022-04-14 18:08:18.225000+00:00,2022-04-14 18:10:30.498356+00:00,2022-04-14 18:10:30.498379+00:00,33.779904,-84.396635,,FALSE,Downy Woodpecker,Dryobates pubescens,dowwoo,UNKNOWN,UNKNOWN,DEAD,collision with building/structure,,
92adcee2-8936-4d25-bfaa-32da9aec79a9,2022-04-16 13:12:47.506000+00:00,2022-04-16 13:15:04.724008+00:00,2022-04-16 13:15:04.724035+00:00,33.778265,-84.3984,,FALSE,unknown,unknown,,UNKNOWN,UNKNOWN,INJURED,unknown,Small black bird on the ground moving only it’s head on the sidewalk in front of the bio quad,
bc21c174-1af2-495f-b72f-c2d6328700ee,2022-04-18 16:16:19.983000+00:00,2022-04-21 03:22:01.382652+00:00,2022-04-21 03:22:01.382674+00:00,33.774432,-84.391691,,FALSE,Black-and-white Warbler,Mniotilta varia,bawwar,ADULT,UNKNOWN,DEAD,unknown,Identified through wing and tail feather pattern--see associated iNaturalist observation for more photos: https://www.inaturalist.org/observations/111942830,https://backend-static.dbird.org/uploads/e6cf798d-301d-4c5c-9405-47816c81b05c.jpeg
3398a79e-6907-4786-aae8-538b4fbcfc6a,2022-04-19 16:00:40.113000+00:00,2022-04-19 16:03:12.177914+00:00,2022-04-19 16:03:12.177940+00:00,33.77766,-84.40412,,FALSE,unknown,unknown,,UNKNOWN,UNKNOWN,DEAD,unknown,Back of building near back door,
5b4e7b4e-9d26-4807-814b-e05adabc8a98,2022-04-19 17:56:02.332000+00:00,2022-04-19 18:02:57.571632+00:00,2022-04-19 18:02:57.571656+00:00,33.774257,-84.395406,,FALSE,White-eyed Vireo,Vireo griseus,whevir,ADULT,UNKNOWN,DEAD,collision with building/structure,,https://backend-static.dbird.org/uploads/0ce32851-7346-4636-8d2c-dfcf3ce53ae5.jpeg
e6c7f3bc-3994-4f92-822b-6128f505f74d,2022-04-19 20:55:15+00:00,2022-04-19 21:00:58.489825+00:00,2024-11-14 18:37:03.385140+00:00,33.773927,-84.394634,,FALSE,Northern Mockingbird,Mimus polyglottos,normoc,JUVENILE,UNKNOWN,INJURED,unknown,He is fine! Just baby and alone!,https://backend-static.dbird.org/uploads/8b5b9a20-b824-41ec-ae5c-7a7e8c198900.jpg
6e6fcafc-5665-407b-8daa-99168af8d8b0,2022-04-22 14:58:51+00:00,2022-04-22 15:03:18.571665+00:00,2024-11-14 18:36:17.665750+00:00,33.780629,-84.397634,,FALSE,passerine sp.,Passeriformes sp.,passer1,UNKNOWN,UNKNOWN,DEAD,collision with building/structure,"Bird species might not be 100% accurate, very similar to that listed. Third dead bird spotted at this location in recent months

Edit 11/14/24 by Amanda Janusz: cleared user-submitted ID (male black-headed grosbeak)",
