id,observed_at_utc,latitude,longitude,common_name,scientific_name,ebird_species_code,age,sex,bird_status,cause
754032c2-1279-497e-a124-f08ca3524e29,2024-10-02 19:35:06+00:00,33.776308,-84.387671,Tennessee Warbler,Leiothlypis peregrina,tenwar,ADULT,UNKNOWN,DEAD,collision with building/structure
3d468243-89e9-4221-adb3-50a2ce8d50a6,2024-10-02 19:35:59+00:00,33.776344,-84.387703,Tennessee Warbler,Leiothlypis peregrina,tenwar,ADULT,UNKNOWN,DEAD,collision with building/structure
8d169a1c-150c-49d4-afe7-f1c6750f945d,2024-10-02 19:36:30+00:00,33.776317,-84.387767,Tennessee Warbler,Leiothlypis peregrina,tenwar,ADULT,UNKNOWN,DEAD,collision with building/structure
917ccfc3-3c04-468a-b307-98c3fb9ac0be,2024-10-04 00:05:32+00:00,33.773734,-84.397934,Ovenbird,Seiurus aurocapilla,ovenbi1,UNKNOWN,UNKNOWN,DEAD,collision with building/structure
c5707c55-7dab-4c7d-9614-cc196cbc44d0,2024-10-04 14:45:52+00:00,33.781164,-84.39774,Tennessee Warbler,Leiothlypis peregrina,tenwar,UNKNOWN,UNKNOWN,DEAD,collision with building/structure
a823f58e-c994-4e46-ac66-cccb54e81fd0,2024-10-04 21:09:21+00:00,33.7744,-84.395358,Tennessee Warbler,Leiothlypis peregrina,tenwar,UNKNOWN,UNKNOWN,DEAD,collision with building/structure
b99265bf-24a8-4ecb-bb5b-664580b44f43,2024-10-06 14:00:21+00:00,33.779729,-84.400417,Ovenbird,Seiurus aurocapilla,ovenbi1,ADULT,UNKNOWN,DEAD,collision with building/structure
fbc13ea3-b176-4c5a-9c9a-a22b1e4c7c13,2024-10-07 15:37:35+00:00,33.7811,-84.397702,Gray Catbird,Dumetella carolinensis,grycat,UNKNOWN,UNKNOWN,DEAD,unknown
565fb7c2-842e-4d0c-9040-24011e794cf4,2024-10-07 16:30:53+00:00,33.780689,-84.399374,Gray Catbird,Dumetella carolinensis,grycat,UNKNOWN,UNKNOWN,DEAD,collision with building/structure
f03595ae-1d7b-4dd7-88e4-6a1213463428,2024-10-07 16:37:59+00:00,33.779952,-84.39671,Indigo Bunting,Passerina cyanea,indbun,UNKNOWN,MALE,DEAD,collision with building/structure
9309352f-51b0-4d46-ab5d-5cac2077ebd9,2024-10-07 17:15:15+00:00,33.776478,-84.388701,Tennessee Warbler,Leiothlypis peregrina,tenwar,UNKNOWN,UNKNOWN,DEAD,collision with building/structure
c94fd0ff-ccea-4fcb-9fd6-248205ee4c9e,2024-10-07 17:24:49+00:00,33.771624,-84.395413,Tennessee Warbler,Leiothlypis peregrina,tenwar,UNKNOWN,UNKNOWN,INJURED,collision with building/structure
ada8b30d-373d-4527-82fb-422a31dc77c6,2024-10-07 19:11:34+00:00,33.780629,-84.397634,Gray Catbird,Dumetella carolinensis,grycat,UNKNOWN,UNKNOWN,DEAD,collision with building/structure
4fca7393-087c-4b44-b09e-3bd7fde6e56e,2024-10-08 18:04:31+00:00,33.78014,-84.396465,Tennessee Warbler,Leiothlypis peregrina,tenwar,UNKNOWN,UNKNOWN,DEAD,unknown
85862394-60e4-4452-919e-914c678dacab,2024-10-09 14:19:04+00:00,33.776095,-84.398808,Common Yellowthroat,Geothlypis trichas,comyel,UNKNOWN,UNKNOWN,DEAD,collision with building/structure
3d7b4b54-8e2f-4442-9a6d-331c4eaddd15,2024-10-11 19:27:08+00:00,33.779559,-84.396545,Tennessee Warbler,Leiothlypis peregrina,tenwar,ADULT,UNKNOWN,DEAD,collision with building/structure
c4978f48-c5f8-41e5-9e74-70512dd80c62,2024-10-14 13:58:14+00:00,33.78004,-84.396798,Yellow-billed Cuckoo,Coccyzus americanus,yebcuc,UNKNOWN,UNKNOWN,DEAD,collision with building/structure
76600057-083f-410e-8240-a77cbd5aa82a,2024-10-14 13:59:34+00:00,33.779906,-84.396563,Eastern Towhee,Pipilo erythrophthalmus,eastow,UNKNOWN,FEMALE,DEAD,collision with building/structure
393def15-2341-420e-a773-1b894d7b9c35,2024-10-14 14:01:23+00:00,33.779736,-84.396706,Indigo Bunting,Passerina cyanea,indbun,JUVENILE,UNKNOWN,DEAD,collision with building/structure
dd6a7346-9f2a-49e8-8712-c06dd1a6ce30,2024-10-16 19:18:21+00:00,33.774398,-84.395779,Yellow-billed Cuckoo,Coccyzus americanus,yebcuc,ADULT,MALE,DEAD,collision with building/structure
c4a5d730-7e0a-4f7b-9c82-43897176c4c6,2024-10-16 19:18:26+00:00,33.774398,-84.395779,Gray Catbird,Dumetella carolinensis,grycat,UNKNOWN,UNKNOWN,DEAD,collision with building/structure
33813807-410b-4aff-b925-df236658d065,2024-10-16 19:18:44+00:00,33.774398,-84.395779,Wood Thrush,Hylocichla mustelina,woothr,ADULT,UNKNOWN,DEAD,collision with building/structure
7ecda573-6f0b-4ead-bf3a-e6024d8e8499,2024-10-18 18:00:06+00:00,33.775593,-84.397225,Ovenbird,Seiurus aurocapilla,ovenbi1,UNKNOWN,UNKNOWN,DEAD,collision with building/structure
9c9c445d-29bf-4181-8cfe-88774c460f9b,2024-10-18 19:18:40+00:00,33.774398,-84.395779,Northern Parula,Setophaga americana,norpar,UNKNOWN,UNKNOWN,DEAD,collision with building/structure
ec31e751-da37-4027-a702-a6ac97626254,2024-10-21 02:25:08+00:00,33.776015,-84.395417,Catharus sp.,Catharus sp.,cathus,UNKNOWN,UNKNOWN,DEAD,unknown
c5779cde-a8ae-4380-8da4-5b0c2df7d3d2,2024-10-21 17:02:09+00:00,33.779875,-84.396634,Orange-crowned Warbler,Leiothlypis celata,orcwar,UNKNOWN,UNKNOWN,DEAD,collision with building/structure
48cf50eb-4445-4971-90b3-faad3f89740b,2024-10-22 17:37:32+00:00,33.774597,-84.401645,Tennessee Warbler,Leiothlypis peregrina,tenwar,UNKNOWN,UNKNOWN,DEAD,collision with building/structure
e8c616ad-c8ea-4588-bd01-70ee49c6e62f,2024-11-04 15:29:08+00:00,33.776918,-84.396198,Gray-cheeked Thrush,Catharus minimus,gycthr,UNKNOWN,UNKNOWN,DEAD,unknown
7335b02f-ffb9-4e6c-a0c4-0656e9eb0b9f,2024-11-05 14:08:20+00:00,33.779826,-84.396752,White-throated Sparrow,Zonotrichia albicollis,whtspa,UNKNOWN,UNKNOWN,DEAD,collision with building/structure
e26fec04-e449-458a-94ca-2fb00bd2ec24,2024-11-06 22:27:50+00:00,33.775688,-84.397305,Northern Waterthrush,Parkesia noveboracensis,norwat,UNKNOWN,UNKNOWN,DEAD,collision with building/structure
f2b67b2a-12b3-4d5a-8c1d-dec9b3923fe6,2024-11-13 22:41:32+00:00,33.774299,-84.39553,Rose-breasted Grosbeak,Pheucticus ludovicianus,robgro,JUVENILE,MALE,DEAD,collision with building/structure
