id,observed_at_utc,latitude,longitude,common_name,scientific_name,ebird_species_code,age,sex,bird_status,cause,year
2250a589-4af5-4aa1-9588-84d0b71f6095,2024-04-01,33.777126,-84.397235,Hermit Thrush,Catharus guttatus,herthr,UNKNOWN,UNKNOWN,DEAD,unknown,2024
2621452f-3e97-4f85-b5e3-c4b4f124859f,2024-04-02,33.774855,-84.397734,Northern Mockingbird,Mimus polyglottos,normoc,UNKNOWN,UNKNOWN,DEAD,unknown,2024
859bc744-68d9-4771-a660-566f9a9da22b,2024-04-10,33.771764,-84.393929,unknown,unknown,,UNKNOWN,UNKNOWN,DEAD,unknown,2024
2932da01-5f31-4614-8c4b-c411bb2b8fa8,2024-04-10,33.780166,-84.39664,Ovenbird,Seiurus aurocapilla,ovenbi1,UNKNOWN,UNKNOWN,DEAD,collision with building/structure,2024
66be39e5-9faf-4f4f-9b87-852aafefd00d,2024-04-13,33.779696,-84.404847,unknown,unknown,,UNKNOWN,UNKNOWN,DEAD,unknown,2024
fe10c4ad-c949-41cd-9540-f35a7a918b98,2024-04-15,33.772971,-84.395865,bird sp.,Aves sp.,bird1,UNKNOWN,UNKNOWN,DEAD,collision with building/structure,2024
ef77b7e8-e040-4705-8856-009f61f19a60,2024-04-15,33.776573,-84.388062,Red-eyed Vireo,Vireo olivaceus,reevir1,UNKNOWN,UNKNOWN,DEAD,collision with building/structure,2024
5a8664cd-4687-48b0-8889-7799f9c933f4,2024-04-15,33.779755,-84.39664,Black-and-white Warbler,Mniotilta varia,bawwar,UNKNOWN,UNKNOWN,DEAD,collision with building/structure,2024
05d67721-7449-40ca-823f-6af538f1e589,2024-04-15,33.779815,-84.39664,Yellow-bellied Sapsucker,Sphyrapicus varius,yebsap,UNKNOWN,UNKNOWN,DEAD,collision with building/structure,2024
853ff52b-a5fd-4c55-98fa-cf2c31605026,2024-04-15,33.776431,-84.387566,Red-eyed Vireo,Vireo olivaceus,reevir1,ADULT,UNKNOWN,DEAD,collision with building/structure,2024
122b780e-c763-465e-a8c1-d0811f807632,2024-04-16,33.776095,-84.398808,Northern Mockingbird,Mimus polyglottos,normoc,UNKNOWN,UNKNOWN,DEAD,unknown,2024
06f81e7a-8529-4ae8-9e1c-7918ffc46ec6,2024-04-22,33.780045,-84.403378,Blue-winged Warbler,Vermivora cyanoptera,buwwar,ADULT,MALE,DEAD,collision with building/structure,2024
ea36d72a-f1fc-4582-b025-225b64a40e69,2024-04-22,33.779914,-84.396629,Northern Waterthrush,Parkesia noveboracensis,norwat,UNKNOWN,UNKNOWN,DEAD,collision with building/structure,2024
b4e23902-a3e9-412f-9564-46e56ea57aea,2024-04-22,33.776095,-84.398808,unknown,unknown,,UNKNOWN,UNKNOWN,DEAD,collision with building/structure,2024
4b129f39-e686-474d-b704-04117fe03c9e,2024-04-22,33.77659,-84.387596,Indigo Bunting,Passerina cyanea,indbun,ADULT,MALE,DEAD,collision with building/structure,2024
2f2957c9-a661-45e7-88fe-1e20242d8c6f,2024-04-23,33.77991,-84.396504,unknown,unknown,,UNKNOWN,UNKNOWN,DEAD,collision with building/structure,2024
dde24863-083e-4d4c-9788-ea118657256b,2024-04-23,33.779789,-84.396629,Northern Waterthrush,Parkesia noveboracensis,norwat,UNKNOWN,UNKNOWN,DEAD,collision with building/structure,2024
7f632d9b-f478-4b45-be35-fcee56461d07,2024-04-24,33.779808,-84.396619,unknown,unknown,,UNKNOWN,UNKNOWN,DEAD,unknown,2024
1d18f97f-b562-4a16-b841-41f7db169728,2024-04-29,33.779928,-84.396486,Summer Tanager,Piranga rubra,sumtan,JUVENILE,MALE,INJURED,unknown,2024
be9f2f5f-dbeb-46c6-8898-2022d4196996,2024-04-29,33.776847,-84.396983,Gray Catbird,Dumetella carolinensis,grycat,UNKNOWN,UNKNOWN,INJURED,collision with building/structure,2024
