id,observed_at_utc,latitude,longitude,common_name,scientific_name,ebird_species_code,age,sex,bird_status,cause,year
d67b36e3-7f6f-4d72-bcde-6cf0f27f4506,2024-09-04,33.775792,-84.399947,unknown,unknown,,UNKNOWN,UNKNOWN,DEAD,unknown,2024
381da60c-47b3-4aa4-a644-5e11efbff957,2024-09-04,33.780045,-84.396914,Summer Tanager,Piranga rubra,sumtan,ADULT,FEMALE,DEAD,collision with building/structure,2024
977f6cef-a2af-427c-9193-a1d07534e2a6,2024-09-11,33.779432,-84.396461,Black-and-white Warbler,Mniotilta varia,bawwar,UNKNOWN,UNKNOWN,DEAD,collision with building/structure,2024
59d91a4a-1844-4a20-a23a-a94265c3fec2,2024-09-15,33.779016,-84.396206,Ovenbird,Seiurus aurocapilla,ovenbi1,UNKNOWN,UNKNOWN,DEAD,collision with building/structure,2024
e481ba4c-6cb3-46d0-acc9-f356cc823d84,2024-09-16,33.774179,-84.39538,Black-and-white Warbler,Mniotilta varia,bawwar,UNKNOWN,UNKNOWN,DEAD,collision with building/structure,2024
60d49714-badd-4258-afc1-72d3f0a4ce18,2024-09-20,33.77934,-84.404638,Ruby-throated Hummingbird,Archilochus colubris,rthhum,UNKNOWN,UNKNOWN,DEAD,collision with building/structure,2024
5a4d4d2e-dcab-409a-b919-4b268331e7fc,2024-09-23,33.774682,-84.395052,Carolina Wren,Thryothorus ludovicianus,carwre,UNKNOWN,UNKNOWN,DEAD,collision with building/structure,2024
b7c82771-67f6-4308-ad9e-aee06d55d2e9,2024-09-25,33.77884,-84.397339,American Robin,Turdus migratorius,amerob,UNKNOWN,UNKNOWN,DEAD,collision with building/structure,2024
68339b8c-6c81-4383-b02b-3562d040852e,2024-09-25,33.77906,-84.397096,warbler sp. (Parulidae sp.),Parulidae sp.,warble,UNKNOWN,UNKNOWN,DEAD,collision with building/structure,2024
6fa0dd6c-9b3e-4c9d-9687-123ca8a8d17d,2024-09-28,33.775084,-84.400627,Gray Catbird,Dumetella carolinensis,grycat,UNKNOWN,UNKNOWN,INJURED,collision with building/structure,2024
a35a72f0-5cbe-4cab-b30a-f80a80bdddf0,2024-09-30,33.780042,-84.396858,Palm Warbler,Setophaga palmarum,palwar,ADULT,UNKNOWN,DEAD,collision with building/structure,2024
